Bee_ID,lat,long,popN,indN,Date,Time,toSequence,toWing,enjambre
CA0801,34.4972222222222,-118.625555555556,08,01,6/16/18,12:26,TRUE,TRUE,FALSE
CA0802,34.4794444444444,-118.614722222222,08,02,6/16/18,12:55,FALSE,FALSE,FALSE
CA0803,34.4630555555556,-118.616388888889,08,03,6/16/18,13:11,FALSE,FALSE,FALSE
CA0804,34.4466666666667,-118.626388888889,08,04,6/16/18,14:05,FALSE,TRUE,FALSE
CA0805,34.4425,-118.600277777778,08,05,6/16/18,14:24,TRUE,TRUE,FALSE
CA0806,34.4352777777778,-118.59,08,06,6/16/18,14:30,FALSE,FALSE,FALSE
CA0807,34.4444444444444,-118.566666666667,08,07,6/16/18,15:03,FALSE,FALSE,FALSE
CA0808,34.4613888888889,-118.561388888889,08,08,6/16/18,15:13,FALSE,FALSE,FALSE
CA0809,34.4613888888889,-118.561388888889,08,09,6/16/18,15:13,FALSE,FALSE,FALSE
CA0810,34.4627777777778,-118.545,08,10,6/16/18,15:31,TRUE,TRUE,FALSE
CA0811,34.4508333333333,-118.534722222222,08,11,6/16/18,15:48,FALSE,TRUE,FALSE
CA0812,34.4413888888889,-118.541666666667,08,12,6/16/18,16:00,FALSE,TRUE,FALSE
CA0813,34.4311111111111,-118.544444444444,08,13,6/16/18,16:24,TRUE,TRUE,FALSE
CA0814,34.4269444444444,-118.538055555556,08,14,6/16/18,16:51,FALSE,FALSE,FALSE
CA0815,34.4194444444444,-118.548611111111,08,15,6/16/18,17:05,FALSE,FALSE,FALSE
CA0816,34.3822222222222,-118.578055555556,08,16,6/16/18,17:45,TRUE,TRUE,FALSE
CA0101,32.8022222222222,-116.950555555556,01,01,6/17/18,11:15,FALSE,TRUE,FALSE
CA0102,32.8141666666667,-116.949722222222,01,02,6/17/18,11:45,TRUE,TRUE,FALSE
CA0103,32.8244444444444,-116.951111111111,01,03,6/17/18,11:45,FALSE,FALSE,FALSE
CA0104,32.8208333333333,-116.938055555556,01,04,6/17/18,11:50,FALSE,FALSE,FALSE
CA0105,32.8208333333333,-116.922777777778,01,05,6/17/18,11:50,FALSE,FALSE,FALSE
CA0106,32.81,-116.9275,01,06,6/17/18,12:05,FALSE,FALSE,FALSE
CA0107,32.8002777777778,-116.926944444444,01,07,6/17/18,12:15,FALSE,FALSE,FALSE
CA0108,32.7911111111111,-116.926944444444,01,08,6/17/18,12:30,TRUE,TRUE,FALSE
CA0109,32.7875,-116.918333333333,01,09,6/17/18,12:40,FALSE,TRUE,FALSE
CA0110,32.7822222222222,-116.906388888889,01,10,6/17/18,12:45,FALSE,TRUE,FALSE
CA0111,32.7705555555556,-116.908888888889,01,11,6/17/18,12:52,FALSE,FALSE,FALSE
CA0112,32.7613888888889,-116.9175,01,12,6/17/18,12:57,TRUE,TRUE,FALSE
CA0113,32.7694444444444,-116.931666666667,01,13,6/17/18,13:01,FALSE,FALSE,FALSE
CA0114,32.78,-116.945277777778,01,14,6/17/18,13:10,FALSE,FALSE,FALSE
CA0115,32.7886111111111,-116.9575,01,15,6/17/18,13:20,FALSE,FALSE,FALSE
CA0201,33.0681714,-117.0668531,02,01,6/17/18,14:10,TRUE,TRUE,FALSE
CA0202,33.0783333333333,-117.057222222222,02,02,6/17/18,14:17,FALSE,TRUE,FALSE
CA0203,33.0875,-117.058055555556,02,03,6/17/18,14:25,FALSE,FALSE,FALSE
CA0204,33.0991666666667,-117.06,02,04,6/17/18,14:35,FALSE,TRUE,FALSE
CA0205,33.1083333333333,-117.062222222222,02,05,6/17/18,14:45,TRUE,TRUE,FALSE
CA0206,33.1083333333333,-117.062222222222,02,06,6/17/18,14:45,FALSE,FALSE,FALSE
CA0207,33.1047222222222,-117.074166666667,02,07,6/17/18,14:54,FALSE,FALSE,FALSE
